Cited	Citing
4291122	8840837
4291122	8969029
4291122	8980622
4291122	9279141
4291122	9322046
4291122	9540677
4291122	9675722
4291122	9701996
4291122	9717812
4291122	10047334
4293221	6770893
4293221	6906792
4293221	6991738
4293221	7260253
4293221	7542597
4293221	7569789
4293221	7630063
4293221	7787112
4293221	7911617
4293221	7933010
4293221	8062895
4293221	8090183
4293221	8143600
4293221	8254023
4293221	8368035
4293221	8634077
4293221	9013692
4294931	8338187
4294931	8765486
4294931	9194774
4294931	10227556
4297104	7247497
4297104	7537936
4297337	6361950
4297337	6368800
4297337	6376187
4297337	6387623
4297337	6686158
4297337	6787307
4297337	7018849
4297337	7078224
4297337	7183002
4297337	7358099
4297337	7524630
4297337	7922917
4297337	8129118
4297337	8202427
4298002	6465001
4298002	6602975
4298002	6632446
4298002	7153519
4298500	6787307
4298500	7078224
4298500	7695973
4298500	8551332
4298685	6340598
4298685	6489148
4298685	6534323
4298685	6656744
4298685	7022515
4298685	7105311
4298685	7125517
4298685	7262019
4298685	7713528
4302536	9739773
4303410	8211279
4303410	8702958
4303410	8840774
4303752	6391551
4303752	6927039
4303752	7943314
4303752	8609330
4303752	9284593
4303752	9382570
4304257	7790040
4304257	8454906
4304257	8841116
4304257	9644623
4304257	9651039
4304257	9895692
4304865	6338802
4304865	6391241
4304865	6419827
4304865	6451261
4304865	6506343
4304865	6783732
4304865	6906292
4304865	7019267
4304865	7192525
4304865	7311880
4304865	7405083
4304869	6623955
4304869	7824922
4304869	8043845
4304869	8071362
4304869	8173388
4304869	8173389
4304869	8283133
4304869	8980622
4304869	9675722
4304869	9701996
4306570	8366636
4306570	8485987
4306570	8656929
4306570	8864680
4306570	8926527
4306570	8992440
4306570	9072502
4306570	9345458
4306570	9421002
4306570	9456809
4306570	9492130
4306570	9510910
4306570	9566045
4306570	9872672
4306570	10078093
4306570	10166011
4306570	10172594
4308254	6689715
4308254	7648761
4309112	6768549
4309112	7585466
4309488	8383033
4309488	8951465
4309488	9750496
4312944	7064197
4314968	6752961
4314970	6653122
4314970	6656428
4318980	6355491
4318980	6489309
4318980	6716642
4318980	6806050
4318980	6858439
4318980	6949524
4318980	7064197
4318980	7381797
4318980	7407770
4318980	7723029
4318980	7741059
4318980	7968305
4318980	8007995
4318980	8409817
4318980	8771966
4318980	8986691
4318980	9068230
4318980	9146221
4318980	9575070
4318980	9617600
4318980	9869678
4318980	10240207
4318994	6458553
4318994	6632656
4318994	7169353
4318994	7485454
4318994	7517494
4318994	7935522
4318994	8030057
4318994	8030062
4318994	8202492
4318994	8222049
4318994	8409527
4318994	8475737
4318994	8567425
4318994	8580569
4318994	8591829
4318994	8765062
4318994	8802445
4318994	8915259
4318994	8932523
4318994	9075047
4318994	9075051
4318994	9116124
4318994	9234888
4318994	9255866
4318994	9555408
4318994	9588027
4318994	9592505
4318994	9643182
4318994	9682376
4318994	9731291
4318994	9757723
4318994	9827563
4318994	9827564
4318994	9849455
4318994	9861980
4318994	9878324
4318994	9981266
4318994	10159978
4319882	6773675
4322296	7309433
4322296	7708886
4322311	6416960
4322311	6458547
4322311	6596257
4322311	6649356
4322311	6649357
4322311	7112620
4323537	6551557
4323537	6589791
4323537	7400983
4323537	7736591
4323537	7937228
4323537	7960178
4323537	8216512
4323537	8257968
4323537	8298815
4323537	8386195
4323537	8394635
4323537	8529836
4323537	8673642
4323537	8784735
4323537	8788217
4323537	8969086
4323537	9229016
4323537	9778273
4323537	10156580
4323537	10241027
4324683	6416960
4324683	6458547
4324683	6558698
4324683	6596257
4324683	6649356
4324683	6649357
4324858	6406876
4324858	6413394
4324858	6750033
4324858	8187832
4324859	6417011
4326934	6403333
4326934	6403367
